timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1480464551137,262,Index Page,200,OK,JMeter SEARCH_TEST 1-1,text,true,,1503,1,1,260,0
1480464551401,527,Course Listing Page,200,OK,JMeter SEARCH_TEST 1-1,text,true,,2727,1,1,527,0
1480464551935,189,Search Page course keyword,200,OK,JMeter SEARCH_TEST 1-1,text,true,,2006,1,1,189,0
1480464552125,101,Search Page randomstring,200,OK,JMeter SEARCH_TEST 1-1,text,true,,1849,1,1,101,0
1480464552227,623,Search Page CS,200,OK,JMeter SEARCH_TEST 1-1,text,true,,2882,1,1,622,0
1480464552850,78,Search Page randomstring,200,OK,JMeter SEARCH_TEST 1-1,text,true,,1849,1,1,78,0
1480464555096,68,Index Page,200,OK,JMeter SEARCH_TEST 1-2,text,true,,1503,1,1,68,0
1480464555165,466,Course Listing Page,200,OK,JMeter SEARCH_TEST 1-2,text,true,,2727,1,1,466,0
1480464555633,449,Search Page course keyword,200,OK,JMeter SEARCH_TEST 1-2,text,true,,2639,1,1,449,0
1480464556083,79,Search Page randomstring,200,OK,JMeter SEARCH_TEST 1-2,text,true,,1849,1,1,79,0
1480464556163,579,Search Page CS,200,OK,JMeter SEARCH_TEST 1-2,text,true,,2882,1,1,579,0
1480464556742,90,Search Page randomstring,200,OK,JMeter SEARCH_TEST 1-2,text,true,,1849,1,1,90,0
1480464559095,68,Index Page,200,OK,JMeter SEARCH_TEST 1-3,text,true,,1503,1,1,67,0
1480464559163,548,Course Listing Page,200,OK,JMeter SEARCH_TEST 1-3,text,true,,2727,1,1,548,0
1480464559712,307,Search Page course keyword,200,OK,JMeter SEARCH_TEST 1-3,text,true,,2191,1,1,306,0
1480464560019,79,Search Page randomstring,200,OK,JMeter SEARCH_TEST 1-3,text,true,,1849,1,1,79,0
1480464560099,637,Search Page CS,200,OK,JMeter SEARCH_TEST 1-3,text,true,,2882,1,1,636,0
1480464560736,80,Search Page randomstring,200,OK,JMeter SEARCH_TEST 1-3,text,true,,1849,1,1,79,0
1480464563095,69,Index Page,200,OK,JMeter SEARCH_TEST 1-4,text,true,,1503,1,1,68,0
1480464563164,541,Course Listing Page,200,OK,JMeter SEARCH_TEST 1-4,text,true,,2727,1,1,541,0
1480464563706,511,Search Page course keyword,200,OK,JMeter SEARCH_TEST 1-4,text,true,,2639,1,1,511,0
1480464564218,86,Search Page randomstring,200,OK,JMeter SEARCH_TEST 1-4,text,true,,1849,1,1,86,0
1480464564305,629,Search Page CS,200,OK,JMeter SEARCH_TEST 1-4,text,true,,2882,1,1,629,0
1480464564934,83,Search Page randomstring,200,OK,JMeter SEARCH_TEST 1-4,text,true,,1849,1,1,83,0
1480464567098,67,Index Page,200,OK,JMeter SEARCH_TEST 1-5,text,true,,1503,1,1,67,0
1480464567166,533,Course Listing Page,200,OK,JMeter SEARCH_TEST 1-5,text,true,,2727,1,1,532,0
