timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1480463476193,84,Index Page,200,OK,JMeter USER_TEST 1-1,text,true,,1492,1,1,83,0
1480463476280,34,Register Page,200,OK,JMeter USER_TEST 1-1,text,true,,2421,1,1,34,0
1480463476320,93,Register Page,200,OK,JMeter USER_TEST 1-1,text,true,,1163,1,1,93,0
1480463476414,47,Login Page,200,OK,JMeter USER_TEST 1-1,text,true,,1981,1,1,47,0
1480463476462,162,Login Post,200,OK,JMeter USER_TEST 1-1,text,true,,1794,1,1,73,0
1480463476625,109,User Listing Page,200,OK,JMeter USER_TEST 1-1,text,true,,1587,1,1,109,0
1480463476735,412,Course Listing Page,200,OK,JMeter USER_TEST 1-1,text,true,,2640,1,1,412,0
1480463477149,149,Tutor Create Page,200,OK,JMeter USER_TEST 1-1,text,true,,2881,1,1,149,0
1480463477653,35,Index Page,200,OK,JMeter USER_TEST 1-2,text,true,,1492,2,2,35,0
1480463477299,416,Tutor Create Page,200,OK,JMeter USER_TEST 1-1,text,true,,1424,2,2,191,0
1480463477689,47,Register Page,200,OK,JMeter USER_TEST 1-2,text,true,,2421,2,2,47,0
1480463477737,102,Register Page,200,OK,JMeter USER_TEST 1-2,text,true,,1163,2,2,102,0
1480463477716,137,Logout Page,200,OK,JMeter USER_TEST 1-1,text,true,,1807,2,2,102,0
1480463477839,44,Login Page,200,OK,JMeter USER_TEST 1-2,text,true,,1981,1,1,43,0
1480463477883,148,Login Post,200,OK,JMeter USER_TEST 1-2,text,true,,1794,1,1,69,0
1480463478031,101,User Listing Page,200,OK,JMeter USER_TEST 1-2,text,true,,1658,1,1,101,0
1480463478133,432,Course Listing Page,200,OK,JMeter USER_TEST 1-2,text,true,,2640,1,1,432,0
1480463478566,155,Tutor Create Page,200,OK,JMeter USER_TEST 1-2,text,true,,2881,1,1,155,0
1480463478722,409,Tutor Create Page,200,OK,JMeter USER_TEST 1-2,text,true,,1424,1,1,201,0
1480463479155,33,Index Page,200,OK,JMeter USER_TEST 1-3,text,true,,1492,2,2,33,0
1480463479189,41,Register Page,200,OK,JMeter USER_TEST 1-3,text,true,,2421,2,2,41,0
1480463479133,130,Logout Page,200,OK,JMeter USER_TEST 1-2,text,true,,1807,2,2,102,0
1480463479231,99,Register Page,200,OK,JMeter USER_TEST 1-3,text,true,,1163,1,1,99,0
1480463479331,36,Login Page,200,OK,JMeter USER_TEST 1-3,text,true,,1981,1,1,35,0
1480463479367,152,Login Post,200,OK,JMeter USER_TEST 1-3,text,true,,1794,1,1,69,0
1480463479520,107,User Listing Page,200,OK,JMeter USER_TEST 1-3,text,true,,1729,1,1,106,0
1480463479627,440,Course Listing Page,200,OK,JMeter USER_TEST 1-3,text,true,,2640,1,1,440,0
1480463480068,149,Tutor Create Page,200,OK,JMeter USER_TEST 1-3,text,true,,2881,1,1,149,0
1480463480218,407,Tutor Create Page,200,OK,JMeter USER_TEST 1-3,text,true,,1424,1,1,201,0
1480463480655,28,Index Page,200,OK,JMeter USER_TEST 1-4,text,true,,1492,2,2,28,0
1480463480683,51,Register Page,200,OK,JMeter USER_TEST 1-4,text,true,,2421,2,2,51,0
1480463480625,152,Logout Page,200,OK,JMeter USER_TEST 1-3,text,true,,1807,2,2,113,0
1480463480735,108,Register Page,200,OK,JMeter USER_TEST 1-4,text,true,,1163,1,1,108,0
1480463480844,38,Login Page,200,OK,JMeter USER_TEST 1-4,text,true,,1981,1,1,37,0
1480463480882,153,Login Post,200,OK,JMeter USER_TEST 1-4,text,true,,1794,1,1,74,0
1480463481035,104,User Listing Page,200,OK,JMeter USER_TEST 1-4,text,true,,1800,1,1,104,0
1480463481140,458,Course Listing Page,200,OK,JMeter USER_TEST 1-4,text,true,,2640,1,1,458,0
1480463481598,142,Tutor Create Page,200,OK,JMeter USER_TEST 1-4,text,true,,2881,1,1,142,0
1480463481740,416,Tutor Create Page,200,OK,JMeter USER_TEST 1-4,text,true,,1409,1,1,208,0
1480463482160,41,Index Page,200,OK,JMeter USER_TEST 1-5,text,true,,1492,2,2,41,0
1480463482201,63,Register Page,200,OK,JMeter USER_TEST 1-5,text,true,,2421,2,2,63,0
1480463482157,169,Logout Page,200,OK,JMeter USER_TEST 1-4,text,true,,1807,2,2,139,0
1480463482265,123,Register Page,200,OK,JMeter USER_TEST 1-5,text,true,,1163,1,1,123,0
1480463482389,36,Login Page,200,OK,JMeter USER_TEST 1-5,text,true,,1981,1,1,36,0
1480463482425,169,Login Post,200,OK,JMeter USER_TEST 1-5,text,true,,1794,1,1,74,0
1480463482594,105,User Listing Page,200,OK,JMeter USER_TEST 1-5,text,true,,1871,1,1,105,0
1480463482700,437,Course Listing Page,200,OK,JMeter USER_TEST 1-5,text,true,,2640,1,1,437,0
1480463483137,148,Tutor Create Page,200,OK,JMeter USER_TEST 1-5,text,true,,2881,1,1,148,0
1480463483659,28,Index Page,200,OK,JMeter USER_TEST 1-6,text,true,,1492,2,2,28,0
1480463483286,433,Tutor Create Page,200,OK,JMeter USER_TEST 1-5,text,true,,1424,2,2,210,0
1480463483688,53,Register Page,200,OK,JMeter USER_TEST 1-6,text,true,,2421,2,2,53,0
1480463483742,116,Register Page,200,OK,JMeter USER_TEST 1-6,text,true,,1163,2,2,115,0
1480463483720,150,Logout Page,200,OK,JMeter USER_TEST 1-5,text,true,,1807,2,2,112,0
1480463483858,41,Login Page,200,OK,JMeter USER_TEST 1-6,text,true,,1981,1,1,41,0
1480463483899,154,Login Post,200,OK,JMeter USER_TEST 1-6,text,true,,1794,1,1,71,0
1480463484054,105,User Listing Page,200,OK,JMeter USER_TEST 1-6,text,true,,1942,1,1,105,0
1480463484159,431,Course Listing Page,200,OK,JMeter USER_TEST 1-6,text,true,,2640,1,1,431,0
1480463484591,157,Tutor Create Page,200,OK,JMeter USER_TEST 1-6,text,true,,2881,1,1,157,0
1480463484748,430,Tutor Create Page,200,OK,JMeter USER_TEST 1-6,text,true,,1426,2,2,194,0
1480463485158,31,Index Page,200,OK,JMeter USER_TEST 1-7,text,true,,1492,2,2,31,0
1480463485189,43,Register Page,200,OK,JMeter USER_TEST 1-7,text,true,,2421,2,2,43,0
1480463485179,123,Logout Page,200,OK,JMeter USER_TEST 1-6,text,true,,1807,2,2,100,0
1480463485233,99,Register Page,200,OK,JMeter USER_TEST 1-7,text,true,,1163,1,1,99,0
1480463485333,33,Login Page,200,OK,JMeter USER_TEST 1-7,text,true,,1981,1,1,33,0
1480463485366,146,Login Post,200,OK,JMeter USER_TEST 1-7,text,true,,1794,1,1,67,0
1480463485512,106,User Listing Page,200,OK,JMeter USER_TEST 1-7,text,true,,2013,1,1,106,0
1480463485618,440,Course Listing Page,200,OK,JMeter USER_TEST 1-7,text,true,,2640,1,1,440,0
1480463486058,152,Tutor Create Page,200,OK,JMeter USER_TEST 1-7,text,true,,2881,1,1,152,0
1480463486211,405,Tutor Create Page,200,OK,JMeter USER_TEST 1-7,text,true,,1409,1,1,196,0
1480463486661,28,Index Page,200,OK,JMeter USER_TEST 1-8,text,true,,1492,2,2,28,0
1480463486689,49,Register Page,200,OK,JMeter USER_TEST 1-8,text,true,,2421,2,2,48,0
1480463486617,127,Logout Page,200,OK,JMeter USER_TEST 1-7,text,true,,1807,2,2,95,0
1480463486738,89,Register Page,200,OK,JMeter USER_TEST 1-8,text,true,,1163,1,1,89,0
1480463486827,33,Login Page,200,OK,JMeter USER_TEST 1-8,text,true,,1981,1,1,33,0
1480463486860,152,Login Post,200,OK,JMeter USER_TEST 1-8,text,true,,1794,1,1,72,0
1480463487012,113,User Listing Page,200,OK,JMeter USER_TEST 1-8,text,true,,2084,1,1,113,0
1480463487126,441,Course Listing Page,200,OK,JMeter USER_TEST 1-8,text,true,,2640,1,1,441,0
1480463487567,143,Tutor Create Page,200,OK,JMeter USER_TEST 1-8,text,true,,2881,1,1,143,0
1480463487710,427,Tutor Create Page,200,OK,JMeter USER_TEST 1-8,text,true,,1408,1,1,214,0
1480463488162,34,Index Page,200,OK,JMeter USER_TEST 1-9,text,true,,1492,2,2,33,0
1480463488196,51,Register Page,200,OK,JMeter USER_TEST 1-9,text,true,,2421,2,2,51,0
1480463488137,151,Logout Page,200,OK,JMeter USER_TEST 1-8,text,true,,1807,2,2,112,0
1480463488248,107,Register Page,200,OK,JMeter USER_TEST 1-9,text,true,,1163,1,1,107,0
1480463488355,38,Login Page,200,OK,JMeter USER_TEST 1-9,text,true,,1981,1,1,38,0
1480463488394,145,Login Post,200,OK,JMeter USER_TEST 1-9,text,true,,1794,1,1,69,0
1480463488540,107,User Listing Page,200,OK,JMeter USER_TEST 1-9,text,true,,2155,1,1,107,0
1480463488648,460,Course Listing Page,200,OK,JMeter USER_TEST 1-9,text,true,,2640,1,1,460,0
1480463489109,170,Tutor Create Page,200,OK,JMeter USER_TEST 1-9,text,true,,2881,1,1,170,0
1480463489663,32,Index Page,200,OK,JMeter USER_TEST 1-10,text,true,,1492,2,2,32,0
1480463489695,46,Register Page,200,OK,JMeter USER_TEST 1-10,text,true,,2421,2,2,46,0
1480463489280,501,Tutor Create Page,200,OK,JMeter USER_TEST 1-9,text,true,,1408,2,2,224,0
1480463489742,111,Register Page,200,OK,JMeter USER_TEST 1-10,text,true,,1163,2,2,111,0
1480463489853,42,Login Page,200,OK,JMeter USER_TEST 1-10,text,true,,1981,2,2,42,0
1480463489782,142,Logout Page,200,OK,JMeter USER_TEST 1-9,text,true,,1807,2,2,109,0
1480463489896,168,Login Post,200,OK,JMeter USER_TEST 1-10,text,true,,1794,1,1,76,0
1480463490065,101,User Listing Page,200,OK,JMeter USER_TEST 1-10,text,true,,2226,1,1,101,0
1480463490166,434,Course Listing Page,200,OK,JMeter USER_TEST 1-10,text,true,,2640,1,1,434,0
1480463490600,143,Tutor Create Page,200,OK,JMeter USER_TEST 1-10,text,true,,2881,1,1,143,0
1480463490743,401,Tutor Create Page,200,OK,JMeter USER_TEST 1-10,text,true,,1424,1,1,198,0
1480463491145,103,Logout Page,200,OK,JMeter USER_TEST 1-10,text,true,,1807,1,1,79,0
1480463520781,31,Index Page,200,OK,JMeter SEARCH_TEST 3-1,text,true,,1492,1,1,31,0
1480463520812,362,Course Listing Page,200,OK,JMeter SEARCH_TEST 3-1,text,true,,2716,1,1,362,0
1480463521175,384,Search Page course keyword,200,OK,JMeter SEARCH_TEST 3-1,text,true,,2632,1,1,384,0
1480463521560,34,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-1,text,true,,1838,1,1,34,0
1480463521595,894,Search Page CS,200,OK,JMeter SEARCH_TEST 3-1,text,true,,4124,1,1,894,0
1480463522490,38,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-1,text,true,,1838,1,1,38,0
1480463524783,28,Index Page,200,OK,JMeter SEARCH_TEST 3-2,text,true,,1492,1,1,28,0
1480463524811,386,Course Listing Page,200,OK,JMeter SEARCH_TEST 3-2,text,true,,2716,1,1,386,0
1480463525198,719,Search Page course keyword,200,OK,JMeter SEARCH_TEST 3-2,text,true,,3630,1,1,719,0
1480463525917,41,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-2,text,true,,1838,1,1,41,0
1480463525958,904,Search Page CS,200,OK,JMeter SEARCH_TEST 3-2,text,true,,4124,1,1,904,0
1480463526862,36,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-2,text,true,,1838,1,1,36,0
1480463528785,27,Index Page,200,OK,JMeter SEARCH_TEST 3-3,text,true,,1492,1,1,27,0
1480463528813,393,Course Listing Page,200,OK,JMeter SEARCH_TEST 3-3,text,true,,2716,1,1,393,0
1480463529207,719,Search Page course keyword,200,OK,JMeter SEARCH_TEST 3-3,text,true,,3630,1,1,718,0
1480463529926,44,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-3,text,true,,1838,1,1,44,0
1480463529971,894,Search Page CS,200,OK,JMeter SEARCH_TEST 3-3,text,true,,4124,1,1,894,0
1480463530865,37,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-3,text,true,,1838,1,1,37,0
1480463532786,29,Index Page,200,OK,JMeter SEARCH_TEST 3-4,text,true,,1492,1,1,29,0
1480463532815,373,Course Listing Page,200,OK,JMeter SEARCH_TEST 3-4,text,true,,2716,1,1,373,0
1480463533189,35,Search Page course keyword,200,OK,JMeter SEARCH_TEST 3-4,text,true,,1838,1,1,35,0
1480463533225,38,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-4,text,true,,1838,1,1,37,0
1480463533263,892,Search Page CS,200,OK,JMeter SEARCH_TEST 3-4,text,true,,4124,1,1,892,0
1480463534155,40,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-4,text,true,,1838,1,1,40,0
1480463536785,27,Index Page,200,OK,JMeter SEARCH_TEST 3-5,text,true,,1492,1,1,26,0
1480463536812,370,Course Listing Page,200,OK,JMeter SEARCH_TEST 3-5,text,true,,2716,1,1,370,0
1480463537182,389,Search Page course keyword,200,OK,JMeter SEARCH_TEST 3-5,text,true,,2632,1,1,389,0
1480463537572,37,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-5,text,true,,1838,1,1,37,0
1480463537610,889,Search Page CS,200,OK,JMeter SEARCH_TEST 3-5,text,true,,4124,1,1,889,0
1480463538499,37,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-5,text,true,,1838,1,1,37,0
1480463540782,24,Index Page,200,OK,JMeter SEARCH_TEST 3-6,text,true,,1492,1,1,24,0
1480463540807,364,Course Listing Page,200,OK,JMeter SEARCH_TEST 3-6,text,true,,2716,1,1,364,0
1480463541172,211,Search Page course keyword,200,OK,JMeter SEARCH_TEST 3-6,text,true,,2180,1,1,211,0
1480463541384,38,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-6,text,true,,1838,1,1,38,0
1480463541422,886,Search Page CS,200,OK,JMeter SEARCH_TEST 3-6,text,true,,4124,1,1,886,0
1480463542308,41,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-6,text,true,,1838,1,1,41,0
1480463544783,25,Index Page,200,OK,JMeter SEARCH_TEST 3-7,text,true,,1492,1,1,25,0
1480463544808,375,Course Listing Page,200,OK,JMeter SEARCH_TEST 3-7,text,true,,2716,1,1,375,0
1480463545184,378,Search Page course keyword,200,OK,JMeter SEARCH_TEST 3-7,text,true,,2632,1,1,378,0
